state,year,month,drug_type,deaths, deaths
Alaska,2015,November,"Natural, semi-synthetic, & synthetic opioids, incl. methadone (T40.2-T40.4)",64.0,64.0
Alaska,2015,November,Natural & semi-synthetic opioids (T40.2),48.0,48.0
Alaska,2015,November,"Natural & semi-synthetic opioids, incl. methadone (T40.2, T40.3)",54.0,54.0
Alaska,2015,November,"Synthetic opioids, excl. methadone (T40.4)",15.0,15.0
Alaska,2015,November,"Opioids (T40.0-T40.4,T40.6)",79.0,79.0
Alaska,2015,October,"Synthetic opioids, excl. methadone (T40.4)",17.0,17.0
Alaska,2015,October,"Natural, semi-synthetic, & synthetic opioids, incl. methadone (T40.2-T40.4)",66.0,66.0
Alaska,2015,October,"Natural & semi-synthetic opioids, incl. methadone (T40.2, T40.3)",55.0,55.0
Alaska,2015,October,"Opioids (T40.0-T40.4,T40.6)",86.0,86.0
Alaska,2015,October,Natural & semi-synthetic opioids (T40.2),49.0,49.0
Alaska,2018,April,"Synthetic opioids, excl. methadone (T40.4)",38.0,38.0
Alaska,2018,April,"Natural, semi-synthetic, & synthetic opioids, incl. methadone (T40.2-T40.4)",80.0,80.0
Alaska,2018,April,Natural & semi-synthetic opioids (T40.2),48.0,48.0
Alaska,2018,April,"Opioids (T40.0-T40.4,T40.6)",102.0,102.0
Alaska,2018,April,"Natural & semi-synthetic opioids, incl. methadone (T40.2, T40.3)",55.0,55.0
Alaska,2018,August,"Natural, semi-synthetic, & synthetic opioids, incl. methadone (T40.2-T40.4)",56.0,56.0
Alaska,2018,August,Natural & semi-synthetic opioids (T40.2),37.0,37.0
Alaska,2018,August,"Synthetic opioids, excl. methadone (T40.4)",19.0,19.0
Alaska,2018,August,"Natural & semi-synthetic opioids, incl. methadone (T40.2, T40.3)",42.0,42.0
Alaska,2018,August,"Opioids (T40.0-T40.4,T40.6)",73.0,73.0
Alaska,2018,December,"Natural, semi-synthetic, & synthetic opioids, incl. methadone (T40.2-T40.4)",46.0,46.0
Alaska,2018,December,"Opioids (T40.0-T40.4,T40.6)",65.0,65.0
Alaska,2018,December,"Natural & semi-synthetic opioids, incl. methadone (T40.2, T40.3)",37.0,37.0
Alaska,2018,December,"Synthetic opioids, excl. methadone (T40.4)",16.0,16.0
Alaska,2018,December,Natural & semi-synthetic opioids (T40.2),33.0,33.0
Alaska,2018,February,"Natural, semi-synthetic, & synthetic opioids, incl. methadone (T40.2-T40.4)",80.0,80.0
Alaska,2018,February,Natural & semi-synthetic opioids (T40.2),48.0,48.0
Alaska,2018,February,"Synthetic opioids, excl. methadone (T40.4)",38.0,38.0
Alaska,2018,February,"Natural & semi-synthetic opioids, incl. methadone (T40.2, T40.3)",54.0,54.0
Alaska,2018,February,"Opioids (T40.0-T40.4,T40.6)",102.0,102.0
Alaska,2018,January,Natural & semi-synthetic opioids (T40.2),46.0,46.0
Alaska,2018,January,"Synthetic opioids, excl. methadone (T40.4)",38.0,38.0
Alaska,2018,January,"Natural & semi-synthetic opioids, incl. methadone (T40.2, T40.3)",51.0,51.0
Alaska,2018,January,"Natural, semi-synthetic, & synthetic opioids, incl. methadone (T40.2-T40.4)",77.0,77.0
